bid_no,name,city,state,amount,bid,accepted,declined,row,page
166,Hostetter & Smith,Pittsburg,PA,10,1.25,0,10,41,211
167,Clarkson & Co.,New York,NY,5,1.01,0,5,42,211
167,Clarkson & Co.,New York,NY,10,0.01,0,10,43,211
168,J. Kendall,Boston,MA,2,1,0,2,44,211
169,John H. Robinson,Paterson,NJ,0.2,1,0,0.2,45,211
170,A. B. Johnson,Utica,NY,10,1,0,10,46,211
171,Francis Jago,Philadelphia,PA,4,1,0,4,47,211
172,George B. Milton,Boston,MA,1,1,0,1,48,211
173,V. de Amerilla,Philadelphia,PA,0.3,1,0,0.3,49,211
174,Seth Caldwell,Worcester,MA,1,1,0,1,50,211
175,Brevoort Fire Insurance Co.,New York,NY,10,1,0,10,51,211
175,Brevoort Fire Insurance Co.,New York,NY,10,0.5,0,10,52,211
175,Brevoort Fire Insurance Co.,New York,NY,10,0,0,10,53,211
176,C. T. Willard,Philadelphia,PA,0.05,1,0,0.05,54,211
177,Albany Exchange Bank,Albany,NY,20,0.75,0,20,55,211
177,Albany Exchange Bank,Albany,NY,20,0.5,0,20,56,211
178,George W. Utennehle,Washington,NY,6,0,0,6,57,211
179,S. J. Goss,,,0.75,0,0,0.75,58,211
180,Henry H. Bownell,New Haven,CT,3,0,0,3,59,211
181,White & Hill,Nashua,NH,5,0,0,5,60,211
182,Henry S. Milton,Boston,MA,1,0,0,1,61,211
183,Pemberton Smith,Philadelphia,PA,3,0,0,3,62,211
184,G. F. Hunting,Boston,MA,0.4,0,0,0.4,63,211
185,W. M. Webster,Philadelphia,PA,2.2,0,0,2.2,64,211
186,J. M. Balisse,New York,NY,1,0,0,1,65,211
187,J. M. Hines,Shippensburg,PA,1,0,0,1,66,211
188,Mrs. S. E. Edwards,Philadelphia,PA,2,0,0,2,67,211
